Day,Open,High,Low,Close,Adj Close,Volume
53,378.769989,379,369.420013,373.230011,373.230011,2646700
54,370.640015,373,366.220001,368.970001,368.970001,2558500
55,371,372.839996,358.399994,360.619995,360.619995,5414100
56,360.089996,361.5,348.600006,351.850006,351.850006,4873500
57,354.029999,358.970001,348.839996,354.709991,354.709991,4445700
58,357.130005,357.600006,343.399994,343.410004,343.410004,4120700
59,343.149994,344,330.880005,338.470001,338.470001,5766400
60,340.049988,347,336.079987,338.290009,338.290009,3986800
61,342.399994,346.290009,334.059998,336.369995,336.369995,4297500
62,338.089996,344.429993,338,342.98999,342.98999,3600100
63,345.98999,348.299988,340.380005,341.959991,341.959991,4475500
64,341.820007,342.5,328.459991,333.619995,333.619995,6399300
65,335.149994,335.440002,315.609985,323,323,12534600
66,320.98999,324.940002,313.130005,317.76001,317.76001,7077400
67,321.880005,328,318.440002,327.070007,327.070007,6577600
68,328.470001,332.179993,322.5,331.809998,331.809998,5056600
69,330.600006,331,316.5,317.109985,317.109985,6126700
70,314,316.5,309.5,311.730011,311.730011,7287500
71,317.670013,320.480011,311.279999,315.910004,315.910004,4293500
72,316.700012,318.279999,305.5,316.079987,316.079987,5398600
73,321.170013,324,314.709991,323.679993,323.679993,4284900
74,319.76001,328.660004,319.76001,324.910004,324.910004,4299200
75,323.970001,331.149994,322.309998,330.869995,330.869995,2999400
76,332,337.5,328.940002,329.320007,329.320007,3711600
77,333.059998,333.130005,323.390015,324.579987,324.579987,3604600
78,329.670013,337.399994,322.950012,337.149994,337.149994,9293700
79,316.25,316.48999,302.709991,303.829987,303.829987,16180200
80,304,304.390015,288,296.579987,296.579987,14479800
81,296.440002,301.839996,290.450012,300.380005,300.380005,6509300
82,298.100006,304.559998,298.100006,304.130005,304.130005,4088600
83,304.130005,310.480011,304,307.890015,307.890015,4328600
84,310.420013,313.290009,304.309998,308.01001,308.01001,3995100
85,306.369995,310.230011,305,310.049988,310.049988,2519900
86,309.529999,309.809998,297.040009,297.380005,297.380005,4682300
87,295.559998,296.399994,286.679993,292.709991,292.709991,7015200
88,290.820007,295.880005,287.230011,288.320007,288.320007,3848200
89,290.570007,293.679993,284.380005,292.23999,292.23999,4063000
90,294.299988,303.339996,294.160004,302.859985,302.859985,3729600
91,302.600006,305.600006,300.75,304.640015,304.640015,3509900
92,302.5,304.640015,296.660004,297.619995,297.619995,3323300
93,298.019989,299.200012,290.380005,295.190002,295.190002,4295100
94,292.799988,298.880005,291.549988,297.700012,297.700012,3636800
95,295.76001,299,293.809998,296.76001,296.76001,2284200
96,297.100006,304.459991,296.75,301.190002,301.190002,4095700
97,302.209991,305.959991,301.519989,305.01001,305.01001,3408800
98,305.049988,308.540009,303.01001,304.910004,304.910004,2576800
99,305.459991,312.350006,304.899994,312.23999,312.23999,3052900
100,314.410004,314.630005,307.380005,310.820007,310.820007,4862100
101,309.5,313.820007,307.420013,310.160004,310.160004,2726000
102,310.420013,314.869995,310.200012,313.779999,313.779999,2365500
103,314.429993,314.649994,307.570007,312.549988,312.549988,4260200
104,312.589996,312.600006,307,308.839996,308.839996,2203400
105,305.75,307.920013,305.070007,307.190002,307.190002,2379200
106,306.850006,309.5,303.839996,306.779999,306.779999,2107100
107,308.100006,327.940002,306.899994,323.570007,323.570007,7796700
108,325,330.880005,324.929993,329.670013,329.670013,5244000
109,331.570007,333,325.649994,327.5,327.5,3212200
110,327.649994,335.5,327.5,332.410004,332.410004,3663400
111,336,340.720001,333.880005,335.200012,335.200012,4436800
112,335.549988,335.549988,324.660004,325.910004,325.910004,4276300
113,327.049988,329.299988,323.529999,326.269989,326.269989,2764800
114,324.859985,328.690002,323.519989,327.619995,327.619995,2449800
115,327.540009,331.339996,325.230011,325.619995,325.619995,2924100
116,328,335.75,325,334.380005,334.380005,6401500
117,335.26001,338.899994,325.980011,327,327,5320600
118,327.76001,328.220001,320.420013,324.200012,324.200012,6054000
119,323.329987,327.549988,321.410004,327.23999,327.23999,2604800
120,327.540009,329.730011,322.73999,324.160004,324.160004,2626600
